week_start_date,week_end_date,total_training_time_minutes,zone_1_time_minutes,zone_1_percentage,zone_2_time_minutes,zone_2_percentage,zone_3_time_minutes,zone_3_percentage,zone_4_time_minutes,zone_4_percentage,zone_5_time_minutes,zone_5_percentage,total_swimming_time,total_strength_time,total_aerobic_time,weekly_training_load,weekly_training_stress
2025-10-20,2025-10-26,266.4645528157552,46.3,20.1,59.5,25.9,95.0,41.3,29.2,12.7,0.1,0.0,0.0,80.57086588541667,65.36890258789063,18.2000000923872,0
2025-10-27,2025-11-02,234.1808451334636,23.5,10.2,98.5,42.7,99.3,43.1,9.3,4.0,0.0,0.0,0.0,23.48934936523437,35.12898356119792,13.799999922513962,0
2025-11-03,2025-11-09,261.7041381835938,21.3,10.0,47.6,22.3,116.7,54.7,27.9,13.1,0.0,0.0,0.0,40.177982584635416,50.49923502604167,10.200000062584875,0
2025-11-10,2025-11-16,183.12366943359373,6.8,6.2,8.8,8.1,66.3,60.5,27.7,25.3,0.0,0.0,0.0,81.05088297526041,102.07278645833333,8.299999840557575,0
2025-11-17,2025-11-23,225.77200063069665,16.9,9.4,21.8,12.2,68.1,38.1,71.7,40.1,0.4,0.2,0.0,0.0,186.9995849609375,11.30000016838312,0
2025-11-24,2025-11-30,186.6303548177084,1.9,1.6,21.3,18.0,63.8,53.9,31.1,26.3,0.2,0.2,0.0,70.44045003255209,116.18990478515624,7.700000204145908,0
2025-12-01,2025-12-07,184.75118204752604,5.3,4.1,25.0,19.1,87.1,66.7,13.0,10.0,0.1,0.1,0.0,56.14676717122396,128.6044148763021,12.599999874830246,0
2025-12-08,2025-12-14,261.3263885498047,24.4,12.9,76.7,40.5,77.8,41.1,10.5,5.6,0.1,0.0,0.0,70.51566975911459,38.16868184407552,12.69999984651804,0
2025-12-15,2025-12-21,298.2028340657552,31.0,12.5,93.6,37.8,94.2,38.0,28.8,11.6,0.0,0.0,0.0,25.77586669921875,74.79609985351563,16.700000047683716,0
2025-12-22,2025-12-28,341.90625,37.6,44.5,6.0,7.2,36.8,43.6,3.9,4.7,0.0,0.0,0.0,0.0,50.11461588541667,4.299999989569187,0
2025-12-29,2026-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-05,2026-01-11,558.3256083170573,101.2,38.1,116.9,44.0,33.9,12.8,13.5,5.1,0.0,0.0,0.0,25.873433430989586,30.32181599934896,12.399999916553496,0
2026-01-12,2026-01-18,220.53692220052085,16.6,7.9,76.7,36.4,83.5,39.6,33.7,16.0,0.2,0.1,0.0,0.0,135.33528645833334,15.899999856948853,0
2026-01-19,2026-01-25,24.22806599934896,2.5,10.9,11.7,50.0,7.1,30.2,2.1,8.8,0.0,0.0,0.0,0.0,24.22806599934896,2.5999999046325684,0
2026-02-02,2026-02-08,385.7432352701823,57.7,27.7,64.6,30.9,72.6,34.8,13.9,6.6,0.0,0.0,0.0,0.0,62.54516805013021,14.399999991059303,0
2026-02-09,2026-02-15,184.20685221354165,15.3,8.5,27.9,15.4,83.0,45.8,54.8,30.3,0.0,0.0,0.0,0.0,144.5160685221354,14.099999882280828,0
2026-02-16,2026-02-22,457.70634765625,106.1,43.7,80.2,33.0,31.3,12.9,25.3,10.4,0.0,0.0,0.0,0.0,0.0,11.099999964237211,0
2026-02-23,2026-03-01,273.8444376627604,69.8,28.1,65.5,26.4,92.5,37.3,20.5,8.3,0.0,0.0,0.0,0.0,85.46789957682292,14.699999786913397,0
2026-03-02,2026-03-08,185.252187093099,27.9,15.3,64.8,35.7,51.4,28.3,31.1,17.1,6.7,3.7,0.0,0.0,83.05933430989583,14.799999967217444,0
2026-03-09,2026-03-15,555.7284606933594,65.3,46.1,65.9,46.5,10.1,7.1,0.5,0.3,0.0,0.0,0.0,30.656016031901043,25.775083414713546,8.200000002980232,0
2026-03-16,2026-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-03-30,2026-04-05,133.8194356282552,37.5,29.6,33.7,26.5,34.1,26.9,21.5,17.0,0.0,0.0,0.0,0.0,52.41955159505208,7.0000001192092896,0
2026-04-06,2026-04-12,734.2669214884439,132.4,36.4,102.1,28.1,113.3,31.2,15.8,4.3,0.0,0.0,0.0,0.0,126.58918050130208,21.699999928474423,0
2026-04-13,2026-04-19,265.1656860351562,28.0,12.2,33.7,14.7,99.5,43.4,67.6,29.5,0.4,0.2,0.0,35.01536865234375,230.1503173828125,14.199999921023846,0
2026-04-20,2026-04-26,454.17865804036455,100.6,25.8,102.0,26.2,118.9,30.6,67.6,17.4,0.0,0.0,0.0,50.07186686197917,217.6306355794271,17.400000154972076,0
2026-04-27,2026-05-03,200.41053314208983,2.2,1.1,15.0,7.5,51.3,25.8,55.6,27.9,75.1,37.7,0.0,0.0,200.41053314208983,15.400000050663948,0
2026-05-04,2026-05-10,93.19595336914062,11.4,12.4,32.7,35.4,30.1,32.7,17.8,19.3,0.2,0.2,0.0,0.0,23.04403279622396,6.6999998688697815,0
2026-05-11,2026-05-17,275.3325510660807,17.8,10.0,60.2,33.8,76.6,43.0,23.7,13.3,0.0,0.0,0.0,22.20118408203125,61.43331502278646,20.29999977350235,0
2026-05-18,2026-05-24,214.9388041178385,43.5,42.5,31.1,30.3,27.7,27.0,0.1,0.1,0.0,0.0,0.0,90.27105305989583,48.65201822916666,4.600000001490116,0
